,Name,Individual voxel z-score,Individual voxel Posterior prob,Seed-based network Func conn. (r),Seed-based network Meta-analytic coact. (r),x,y,z,"x, y, z"
1071,selective,0.0,0.42,-0.03,-0.0,0,0,0,"0, 0, 0"
1072,selective attention,-0.0,0.31,-0.04,-0.0,0,0,0,"0, 0, 0"
1073,self referential,0.0,0.5,0.13,-0.01,0,0,0,"0, 0, 0"
1074,self report,-0.0,0.3,0.01,0.02,0,0,0,"0, 0, 0"
1075,self reported,-0.0,0.42,0.04,-0.0,0,0,0,"0, 0, 0"
1076,semantic,-0.0,0.35,0.01,-0.02,0,0,0,"0, 0, 0"
1077,semantic memory,-0.0,0.35,0.11,-0.01,0,0,0,"0, 0, 0"
1078,semantically,-0.0,0.0,0.01,-0.01,0,0,0,"0, 0, 0"
1079,semantics,-0.0,0.55,-0.01,-0.0,0,0,0,"0, 0, 0"
1080,sensation,-0.0,0.61,-0.02,0.01,0,0,0,"0, 0, 0"
1081,sensations,0.0,0.69,-0.02,-0.01,0,0,0,"0, 0, 0"
1082,sensitivity,0.0,0.55,0.02,-0.0,0,0,0,"0, 0, 0"
1083,sensorimotor,-0.0,0.55,-0.08,-0.02,0,0,0,"0, 0, 0"
1084,sensorimotor cortex,0.0,0.64,-0.05,-0.01,0,0,0,"0, 0, 0"
1085,sensorimotor network,0.0,0.48,-0.04,-0.01,0,0,0,"0, 0, 0"
1086,sensory,0.0,0.58,-0.07,-0.01,0,0,0,"0, 0, 0"
1087,sensory information,0.0,0.57,-0.02,-0.0,0,0,0,"0, 0, 0"
1088,sensory motor,0.0,0.67,-0.03,-0.01,0,0,0,"0, 0, 0"
1089,sentence,-0.0,0.39,-0.03,-0.01,0,0,0,"0, 0, 0"
1090,sentence comprehension,-0.0,-0.0,-0.02,-0.01,0,0,0,"0, 0, 0"
1091,sentences,0.0,0.32,-0.04,-0.01,0,0,0,"0, 0, 0"
1092,separation,-0.0,0.65,0.01,-0.0,0,0,0,"0, 0, 0"
1093,sequence,-0.0,0.56,-0.03,-0.01,0,0,0,"0, 0, 0"
1094,sequences,0.0,0.54,-0.02,-0.0,0,0,0,"0, 0, 0"
1095,sequential,-0.0,0.66,-0.03,-0.01,0,0,0,"0, 0, 0"
1096,serial,0.0,0.57,-0.02,-0.0,0,0,0,"0, 0, 0"
1097,serotonin,0.0,0.36,0.0,0.01,0,0,0,"0, 0, 0"
1098,sex,-0.0,0.46,0.0,-0.0,0,0,0,"0, 0, 0"
1099,sexual,0.0,0.56,0.1,0.12,0,0,0,"0, 0, 0"
1100,sham,0.0,0.5,0.01,-0.0,0,0,0,"0, 0, 0"
1101,shapes,0.0,0.41,-0.03,-0.0,0,0,0,"0, 0, 0"
1102,shifting,-0.0,0.36,-0.03,-0.0,0,0,0,"0, 0, 0"
1103,shifts,0.0,0.18,-0.04,-0.0,0,0,0,"0, 0, 0"
1104,short term,-0.0,0.54,-0.02,-0.0,0,0,0,"0, 0, 0"
1105,si,0.0,0.61,-0.06,0.01,0,0,0,"0, 0, 0"
1106,sighted,0.0,0.58,-0.1,-0.01,0,0,0,"0, 0, 0"
1107,signal task,0.0,0.27,-0.03,0.0,0,0,0,"0, 0, 0"
1108,signaling,0.0,0.34,0.01,-0.0,0,0,0,"0, 0, 0"
1109,sii,-0.0,0.57,-0.08,-0.01,0,0,0,"0, 0, 0"
1110,silent,-0.0,0.28,-0.01,-0.0,0,0,0,"0, 0, 0"
1111,similarity,-0.0,0.58,-0.0,-0.0,0,0,0,"0, 0, 0"
1112,simulation,-0.0,0.63,-0.03,-0.01,0,0,0,"0, 0, 0"
1113,size,-0.0,0.5,-0.0,-0.0,0,0,0,"0, 0, 0"
1114,sizes,-0.0,0.63,-0.0,-0.0,0,0,0,"0, 0, 0"
1115,skin,0.0,0.59,-0.01,-0.0,0,0,0,"0, 0, 0"
1116,skin conductance,0.0,0.42,0.05,-0.01,0,0,0,"0, 0, 0"
1117,sleep,-0.0,0.52,-0.0,0.0,0,0,0,"0, 0, 0"
1118,smokers,0.0,0.41,0.01,0.01,0,0,0,"0, 0, 0"
1119,smoking,-0.0,0.28,0.02,-0.0,0,0,0,"0, 0, 0"
1120,sn,-0.0,0.46,0.06,-0.0,0,0,0,"0, 0, 0"
1121,social,-0.0,0.38,0.1,-0.01,0,0,0,"0, 0, 0"
1122,social cognition,0.0,0.43,0.04,-0.01,0,0,0,"0, 0, 0"
1123,social cognitive,-0.0,0.25,0.03,-0.0,0,0,0,"0, 0, 0"
1124,social interaction,-0.0,0.54,0.03,-0.0,0,0,0,"0, 0, 0"
1125,social interactions,-0.0,0.52,0.02,0.0,0,0,0,"0, 0, 0"
1126,socially,-0.0,0.65,0.02,-0.0,0,0,0,"0, 0, 0"
1127,solving,-0.0,0.4,0.02,-0.0,0,0,0,"0, 0, 0"
1128,somatosensory,4.18,0.67,-0.12,-0.01,0,0,0,"0, 0, 0"
1129,somatosensory cortex,-0.0,0.65,-0.1,-0.01,0,0,0,"0, 0, 0"
1130,somatosensory cortices,-0.0,0.56,-0.1,-0.01,0,0,0,"0, 0, 0"
1131,sound,0.0,0.5,-0.07,-0.01,0,0,0,"0, 0, 0"
1132,sounds,-0.0,0.38,-0.08,-0.01,0,0,0,"0, 0, 0"
1133,source,0.0,0.69,0.06,0.23,0,0,0,"0, 0, 0"
1134,sources,6.23,0.77,0.18,0.32,0,0,0,"0, 0, 0"
1135,space,-0.0,0.68,0.04,0.06,0,0,0,"0, 0, 0"
1136,spatial,0.0,0.61,-0.1,0.0,0,0,0,"0, 0, 0"
1137,spatial attention,0.0,0.18,-0.08,-0.01,0,0,0,"0, 0, 0"
1138,spatial information,0.0,0.3,-0.03,-0.0,0,0,0,"0, 0, 0"
1139,spatial temporal,0.0,0.76,-0.0,-0.0,0,0,0,"0, 0, 0"
1140,spatially,0.0,0.63,-0.01,-0.0,0,0,0,"0, 0, 0"
1141,spatiotemporal,0.0,0.76,-0.01,-0.0,0,0,0,"0, 0, 0"
1142,speaker,0.0,0.46,-0.04,-0.01,0,0,0,"0, 0, 0"
1143,speakers,-0.0,0.22,-0.02,-0.0,0,0,0,"0, 0, 0"
1144,speaking,-0.0,0.53,-0.02,-0.0,0,0,0,"0, 0, 0"
1145,spectrum,0.0,0.6,0.02,-0.0,0,0,0,"0, 0, 0"
1146,spectrum disorder,0.0,0.54,0.02,-0.0,0,0,0,"0, 0, 0"
1147,spectrum disorders,-0.0,0.48,0.02,-0.01,0,0,0,"0, 0, 0"
1148,speech,0.0,0.34,-0.1,-0.01,0,0,0,"0, 0, 0"
1149,speech perception,-0.0,-0.0,-0.07,-0.01,0,0,0,"0, 0, 0"
1150,speech production,0.0,0.24,-0.07,-0.01,0,0,0,"0, 0, 0"
1151,spl,0.0,0.28,-0.08,-0.01,0,0,0,"0, 0, 0"
1152,spoken,0.0,0.35,-0.06,-0.01,0,0,0,"0, 0, 0"
1153,spontaneous,0.0,0.53,0.0,-0.0,0,0,0,"0, 0, 0"
1154,stimulation,3.83,0.64,-0.07,0.02,0,0,0,"0, 0, 0"
1155,stimulation tms,-0.0,0.77,0.01,0.08,0,0,0,"0, 0, 0"
1156,stop,-0.0,0.18,-0.02,0.0,0,0,0,"0, 0, 0"
1157,stop signal,-0.0,0.25,-0.03,0.01,0,0,0,"0, 0, 0"
1158,storage,0.0,0.67,0.01,0.08,0,0,0,"0, 0, 0"
1159,strategic,0.0,0.61,-0.01,-0.0,0,0,0,"0, 0, 0"
1160,strategies,-0.0,0.53,0.0,-0.0,0,0,0,"0, 0, 0"
1161,strategy,0.0,0.48,-0.0,-0.0,0,0,0,"0, 0, 0"
1162,stream,0.0,0.35,-0.03,-0.0,0,0,0,"0, 0, 0"
1163,streams,0.0,0.28,-0.03,-0.0,0,0,0,"0, 0, 0"
1164,stress,-0.0,0.46,0.01,-0.0,0,0,0,"0, 0, 0"
1165,stress disorder,-0.0,0.5,0.0,-0.0,0,0,0,"0, 0, 0"
1166,striatal,0.0,0.54,0.19,0.06,0,0,0,"0, 0, 0"
1167,striatum,0.0,0.45,0.2,0.09,0,0,0,"0, 0, 0"
1168,stroke,4.8,0.76,0.03,0.06,0,0,0,"0, 0, 0"
1169,stroop,-0.0,0.51,-0.02,-0.0,0,0,0,"0, 0, 0"
1170,stroop task,-0.0,0.49,-0.01,-0.0,0,0,0,"0, 0, 0"
1171,sts,-0.0,0.14,-0.09,-0.01,0,0,0,"0, 0, 0"
1172,subcortical,-0.0,0.64,0.2,0.04,0,0,0,"0, 0, 0"
1173,subcortical structures,-0.0,0.28,0.0,0.0,0,0,0,"0, 0, 0"
1174,subgenual,-0.0,0.21,0.06,0.02,0,0,0,"0, 0, 0"
1175,subjective,0.0,0.51,0.06,0.02,0,0,0,"0, 0, 0"
1176,subsequent,-0.0,0.46,0.02,-0.0,0,0,0,"0, 0, 0"
1177,subsequent memory,-0.0,0.37,0.05,-0.01,0,0,0,"0, 0, 0"
1178,substance,-0.0,0.45,-0.0,-0.0,0,0,0,"0, 0, 0"
1179,substantia,0.0,0.48,0.15,0.04,0,0,0,"0, 0, 0"
1180,subtraction,0.0,0.58,-0.04,-0.0,0,0,0,"0, 0, 0"
1181,success,-0.0,0.35,0.0,-0.0,0,0,0,"0, 0, 0"
1182,suffering,-0.0,0.35,-0.04,-0.0,0,0,0,"0, 0, 0"
1183,sulci,0.0,0.57,-0.04,-0.0,0,0,0,"0, 0, 0"
1184,sulcus,0.0,0.4,-0.18,-0.01,0,0,0,"0, 0, 0"
1185,sulcus ips,-0.0,0.49,-0.09,-0.01,0,0,0,"0, 0, 0"
1186,sulcus sts,0.0,-0.0,-0.08,-0.01,0,0,0,"0, 0, 0"
1187,superior,-0.0,0.43,-0.14,-0.02,0,0,0,"0, 0, 0"
1188,superior inferior,0.0,0.57,-0.08,-0.01,0,0,0,"0, 0, 0"
1189,superior middle,0.0,0.47,-0.05,-0.0,0,0,0,"0, 0, 0"
1190,superior parietal,-0.0,0.46,-0.13,-0.01,0,0,0,"0, 0, 0"
1191,superior temporal,0.0,0.35,-0.12,-0.01,0,0,0,"0, 0, 0"
1192,supplementary,0.0,0.47,-0.08,-0.02,0,0,0,"0, 0, 0"
1193,supplementary motor,0.0,0.47,-0.07,-0.02,0,0,0,"0, 0, 0"
1194,suppressed,-0.0,0.25,-0.01,-0.0,0,0,0,"0, 0, 0"
1195,suppression,-0.0,0.35,-0.01,-0.0,0,0,0,"0, 0, 0"
1196,supramarginal,0.0,0.47,-0.08,-0.01,0,0,0,"0, 0, 0"
1197,supramarginal gyrus,0.0,0.53,-0.08,-0.0,0,0,0,"0, 0, 0"
1198,sustained,0.0,0.43,0.01,-0.0,0,0,0,"0, 0, 0"
1199,sustained attention,0.0,0.58,-0.0,-0.0,0,0,0,"0, 0, 0"
1200,switch,-0.0,0.43,-0.02,-0.0,0,0,0,"0, 0, 0"
1201,switching,-0.0,0.34,-0.01,-0.0,0,0,0,"0, 0, 0"
1202,symbolic,-0.0,0.48,-0.04,-0.0,0,0,0,"0, 0, 0"
1203,symptom,0.0,0.55,0.0,-0.0,0,0,0,"0, 0, 0"
1204,symptom severity,-0.0,0.35,0.0,-0.0,0,0,0,"0, 0, 0"
1205,symptoms,-0.0,0.41,0.0,0.0,0,0,0,"0, 0, 0"
1206,syntactic,-0.0,0.44,-0.02,-0.01,0,0,0,"0, 0, 0"
1207,tactile,-0.0,0.55,-0.12,-0.01,0,0,0,"0, 0, 0"
1208,tapping,0.0,0.56,-0.05,-0.01,0,0,0,"0, 0, 0"
1209,target,0.0,0.4,-0.05,-0.0,0,0,0,"0, 0, 0"
1210,target detection,0.0,0.0,-0.02,-0.0,0,0,0,"0, 0, 0"
1211,targets,-0.0,0.54,-0.02,-0.0,0,0,0,"0, 0, 0"
1212,task,-3.59,0.41,-0.11,-0.03,0,0,0,"0, 0, 0"
1213,task demands,-0.0,0.28,-0.02,-0.0,0,0,0,"0, 0, 0"
1214,task difficulty,0.0,0.3,-0.03,-0.01,0,0,0,"0, 0, 0"
1215,task positive,-0.0,0.29,0.04,-0.0,0,0,0,"0, 0, 0"
1216,task relevant,0.0,0.36,-0.01,-0.0,0,0,0,"0, 0, 0"
1217,tasks,0.0,0.47,-0.13,-0.02,0,0,0,"0, 0, 0"
1218,taste,0.0,0.46,0.05,0.03,0,0,0,"0, 0, 0"
1219,td,-0.0,0.57,0.0,-0.0,0,0,0,"0, 0, 0"
1220,tegmental,-0.0,0.47,0.12,0.03,0,0,0,"0, 0, 0"
1221,temporal,0.0,0.47,-0.05,-0.02,0,0,0,"0, 0, 0"
1222,temporal cortex,0.0,0.39,-0.03,-0.01,0,0,0,"0, 0, 0"
1223,temporal cortices,-0.0,0.42,0.0,-0.0,0,0,0,"0, 0, 0"
1224,temporal frontal,0.0,0.48,-0.0,-0.0,0,0,0,"0, 0, 0"
1225,temporal gyri,-0.0,0.23,-0.04,-0.0,0,0,0,"0, 0, 0"
1226,temporal gyrus,0.0,0.39,-0.07,-0.01,0,0,0,"0, 0, 0"
1227,temporal inferior,0.0,0.45,-0.02,0.0,0,0,0,"0, 0, 0"
1228,temporal lobe,-0.0,0.5,0.17,-0.01,0,0,0,"0, 0, 0"
1229,temporal lobes,-0.0,0.6,0.07,-0.01,0,0,0,"0, 0, 0"
1230,temporal occipital,0.0,0.26,-0.03,-0.0,0,0,0,"0, 0, 0"
1231,temporal parietal,0.0,0.24,0.0,-0.0,0,0,0,"0, 0, 0"
1232,temporal pole,0.0,0.5,0.07,-0.01,0,0,0,"0, 0, 0"
1233,temporal sulcus,0.0,0.34,-0.12,-0.01,0,0,0,"0, 0, 0"
1234,temporale,-0.0,0.0,-0.07,-0.01,0,0,0,"0, 0, 0"
1235,temporo,0.0,0.27,-0.0,-0.01,0,0,0,"0, 0, 0"
1236,temporo parietal,-0.0,0.33,0.0,-0.01,0,0,0,"0, 0, 0"
1237,temporoparietal,0.0,0.43,0.02,-0.01,0,0,0,"0, 0, 0"
1238,temporoparietal junction,-0.0,0.43,0.02,-0.01,0,0,0,"0, 0, 0"
1239,thalamic,0.0,0.67,0.17,0.04,0,0,0,"0, 0, 0"
1240,thalamus,0.0,0.54,0.3,0.06,0,0,0,"0, 0, 0"
1241,theory,-0.0,0.43,0.08,-0.01,0,0,0,"0, 0, 0"
1242,theory mind,-0.0,0.16,0.09,-0.01,0,0,0,"0, 0, 0"
1243,therapy,-0.0,0.55,-0.01,-0.0,0,0,0,"0, 0, 0"
1244,thinking,0.0,0.3,0.05,-0.01,0,0,0,"0, 0, 0"
1245,thought,0.0,0.43,0.01,-0.0,0,0,0,"0, 0, 0"
1246,thoughts,-0.0,0.36,0.04,-0.0,0,0,0,"0, 0, 0"
1247,threatening,-0.0,0.4,0.04,-0.0,0,0,0,"0, 0, 0"
1248,time task,-0.0,-0.0,-0.01,-0.0,0,0,0,"0, 0, 0"
1249,timing,0.0,0.42,-0.03,-0.0,0,0,0,"0, 0, 0"
1250,tom,0.0,-0.0,0.06,-0.01,0,0,0,"0, 0, 0"
1251,tone,0.0,0.47,-0.03,-0.01,0,0,0,"0, 0, 0"
1252,tools,-0.0,0.59,-0.07,-0.0,0,0,0,"0, 0, 0"
1253,touch,-0.0,0.55,-0.1,-0.01,0,0,0,"0, 0, 0"
1254,tpj,0.0,0.34,-0.01,-0.01,0,0,0,"0, 0, 0"
1255,track,0.0,0.57,-0.01,-0.0,0,0,0,"0, 0, 0"
1256,tracking,0.0,0.53,-0.02,-0.0,0,0,0,"0, 0, 0"
1257,trait,0.0,0.59,0.01,-0.0,0,0,0,"0, 0, 0"
1258,traits,-0.0,0.42,0.07,-0.0,0,0,0,"0, 0, 0"
1259,uncertain,-0.0,0.28,0.0,-0.0,0,0,0,"0, 0, 0"
1260,uncertainty,0.0,0.56,-0.01,-0.0,0,0,0,"0, 0, 0"
1261,unexpected,0.0,0.23,0.0,-0.0,0,0,0,"0, 0, 0"
1262,unfamiliar,-0.0,0.27,-0.01,-0.0,0,0,0,"0, 0, 0"
1263,unilateral,-0.0,0.59,-0.01,-0.0,0,0,0,"0, 0, 0"
1264,unimodal,0.0,0.62,-0.02,-0.0,0,0,0,"0, 0, 0"
1265,unpleasant,0.0,0.61,0.09,0.04,0,0,0,"0, 0, 0"
1266,updating,0.0,0.23,-0.02,-0.0,0,0,0,"0, 0, 0"
1267,v1,-0.0,0.57,-0.11,-0.01,0,0,0,"0, 0, 0"
1268,v5,0.0,0.39,-0.09,-0.01,0,0,0,"0, 0, 0"
1269,valence,0.0,0.36,0.13,-0.0,0,0,0,"0, 0, 0"
1270,value,0.0,0.46,0.11,0.03,0,0,0,"0, 0, 0"
1271,values,0.0,0.6,-0.01,0.01,0,0,0,"0, 0, 0"
1272,ventral,-0.0,0.5,0.11,0.08,0,0,0,"0, 0, 0"
1273,ventral anterior,-0.0,0.28,0.03,-0.0,0,0,0,"0, 0, 0"
1274,ventral dorsal,-0.0,0.23,-0.01,-0.0,0,0,0,"0, 0, 0"
1275,ventral medial,-0.0,0.3,0.08,-0.0,0,0,0,"0, 0, 0"
1276,ventral premotor,-0.0,0.56,-0.14,-0.01,0,0,0,"0, 0, 0"
1277,ventral striatum,-0.0,0.47,0.15,0.08,0,0,0,"0, 0, 0"
1278,ventral tegmental,-0.0,0.47,0.12,0.03,0,0,0,"0, 0, 0"
1279,ventral visual,-0.0,0.43,-0.04,-0.01,0,0,0,"0, 0, 0"
1280,ventrolateral,0.0,0.46,-0.04,-0.0,0,0,0,"0, 0, 0"
1281,ventrolateral prefrontal,-0.0,0.46,-0.02,-0.0,0,0,0,"0, 0, 0"
1282,ventromedial,-0.0,0.27,0.12,-0.01,0,0,0,"0, 0, 0"
1283,ventromedial prefrontal,0.0,0.33,0.12,-0.01,0,0,0,"0, 0, 0"
1284,verb,-0.0,0.35,-0.04,-0.01,0,0,0,"0, 0, 0"
1285,verbal,-0.0,0.37,-0.02,-0.01,0,0,0,"0, 0, 0"
1286,verbal fluency,0.0,0.0,0.02,0.02,0,0,0,"0, 0, 0"
1287,verbal working,-0.0,-0.0,-0.02,-0.0,0,0,0,"0, 0, 0"
1288,verbs,-0.0,0.24,-0.04,-0.01,0,0,0,"0, 0, 0"
1289,vermis,-0.0,0.45,-0.03,-0.02,0,0,0,"0, 0, 0"
1290,vi,-0.0,0.57,-0.03,-0.02,0,0,0,"0, 0, 0"
1291,video,0.0,0.26,-0.1,-0.01,0,0,0,"0, 0, 0"
1292,video clips,-0.0,0.43,-0.09,-0.01,0,0,0,"0, 0, 0"
1293,videos,0.0,-0.0,-0.08,-0.01,0,0,0,"0, 0, 0"
1294,viewing,-0.0,0.36,-0.03,-0.01,0,0,0,"0, 0, 0"
1295,violations,0.0,0.46,0.01,-0.0,0,0,0,"0, 0, 0"
1296,virtual,0.0,0.46,0.01,-0.01,0,0,0,"0, 0, 0"
1297,vision,-0.0,0.42,-0.11,-0.01,0,0,0,"0, 0, 0"
1298,visual,-0.0,0.45,-0.21,-0.02,0,0,0,"0, 0, 0"
1299,visual attention,0.0,0.21,-0.03,-0.0,0,0,0,"0, 0, 0"
1300,visual auditory,-0.0,0.45,-0.04,-0.01,0,0,0,"0, 0, 0"
1301,visual cortex,0.0,0.51,-0.08,-0.01,0,0,0,"0, 0, 0"
1302,visual cortices,0.0,-0.0,-0.06,-0.01,0,0,0,"0, 0, 0"
1303,visual field,-0.0,0.65,-0.04,-0.0,0,0,0,"0, 0, 0"
1304,visual information,0.0,0.55,-0.02,-0.0,0,0,0,"0, 0, 0"
1305,visual motion,-0.0,0.0,-0.09,-0.01,0,0,0,"0, 0, 0"
1306,visual perception,-0.0,0.55,-0.04,-0.0,0,0,0,"0, 0, 0"
1307,visual stimuli,-0.0,0.47,-0.02,-0.0,0,0,0,"0, 0, 0"
1308,visual stimulus,0.0,0.29,-0.03,-0.0,0,0,0,"0, 0, 0"
1309,visual stream,0.0,0.46,-0.03,-0.01,0,0,0,"0, 0, 0"
1310,visual word,0.0,0.36,-0.03,-0.01,0,0,0,"0, 0, 0"
1311,visually,-0.0,0.45,-0.09,-0.01,0,0,0,"0, 0, 0"
1312,visually presented,0.0,0.25,-0.02,-0.0,0,0,0,"0, 0, 0"
1313,visuo,0.0,0.4,-0.06,-0.01,0,0,0,"0, 0, 0"
1314,visuo spatial,-0.0,0.57,-0.03,0.01,0,0,0,"0, 0, 0"
1315,visuomotor,-0.0,0.4,-0.07,-0.01,0,0,0,"0, 0, 0"
1316,visuospatial,0.0,0.27,-0.07,-0.01,0,0,0,"0, 0, 0"
1317,vlpfc,0.0,0.18,-0.02,-0.0,0,0,0,"0, 0, 0"
1318,vmpfc,-0.0,0.14,0.12,-0.01,0,0,0,"0, 0, 0"
1319,vocal,-0.0,0.61,-0.06,-0.01,0,0,0,"0, 0, 0"
1320,voice,-0.0,0.36,-0.06,-0.01,0,0,0,"0, 0, 0"
1321,vs,-0.0,0.51,0.0,0.0,0,0,0,"0, 0, 0"
1322,vulnerability,0.0,0.47,-0.0,-0.0,0,0,0,"0, 0, 0"
1323,watching,0.0,0.31,-0.03,-0.0,0,0,0,"0, 0, 0"
1324,wm,0.0,0.33,-0.04,-0.01,0,0,0,"0, 0, 0"
1325,wm task,0.0,0.25,-0.02,-0.0,0,0,0,"0, 0, 0"
1326,word,-0.0,0.37,-0.05,-0.02,0,0,0,"0, 0, 0"
1327,word form,-0.0,0.42,-0.02,-0.01,0,0,0,"0, 0, 0"
1328,word pairs,0.0,0.48,0.04,-0.0,0,0,0,"0, 0, 0"
1329,word recognition,-0.0,-0.0,-0.02,-0.01,0,0,0,"0, 0, 0"
1330,words,-0.0,0.36,-0.05,-0.01,0,0,0,"0, 0, 0"
1331,working,0.0,0.39,-0.09,-0.02,0,0,0,"0, 0, 0"
1332,working memory,-0.0,0.4,-0.09,-0.01,0,0,0,"0, 0, 0"
1333,written,0.0,0.51,-0.01,-0.01,0,0,0,"0, 0, 0"
0,abilities,-0.0,0.41,-0.0,-0.01,10,10,10,"10, 10, 10"
1,ability,0.0,0.44,-0.01,-0.0,10,10,10,"10, 10, 10"
2,abstract,-0.0,0.31,0.0,0.01,10,10,10,"10, 10, 10"
3,abuse,0.0,0.72,0.04,0.06,10,10,10,"10, 10, 10"
4,acc,-0.0,0.48,0.19,0.13,10,10,10,"10, 10, 10"
5,accumbens,3.78,0.7,0.11,0.22,10,10,10,"10, 10, 10"
6,accuracy,,0.51,0.0,0.0,10,10,10,"10, 10, 10"
7,accurate,0.0,0.61,-0.0,-0.0,10,10,10,"10, 10, 10"
8,accurately,0.0,0.58,0.0,-0.01,10,10,10,"10, 10, 10"
9,acoustic,-0.0,0.31,-0.08,-0.04,10,10,10,"10, 10, 10"
10,act,0.0,0.5,-0.0,-0.0,10,10,10,"10, 10, 10"
11,action,0.0,0.42,-0.18,-0.03,10,10,10,"10, 10, 10"
12,action observation,0.0,0.47,-0.19,-0.04,10,10,10,"10, 10, 10"
13,actions,-0.0,0.39,-0.16,-0.03,10,10,10,"10, 10, 10"
14,acts,0.0,0.49,0.0,-0.01,10,10,10,"10, 10, 10"
15,ad,0.0,0.48,-0.0,-0.01,10,10,10,"10, 10, 10"
16,adaptation,-0.0,0.5,-0.02,-0.0,10,10,10,"10, 10, 10"
17,add,0.0,0.48,-0.0,-0.0,10,10,10,"10, 10, 10"
18,addiction,0.0,0.63,0.02,0.11,10,10,10,"10, 10, 10"
19,addition,-0.0,0.52,-0.01,-0.0,10,10,10,"10, 10, 10"
20,adhd,-0.0,0.56,-0.0,-0.01,10,10,10,"10, 10, 10"
21,adolescence,0.0,0.62,-0.0,-0.0,10,10,10,"10, 10, 10"
22,adolescent,-0.0,0.63,-0.0,-0.0,10,10,10,"10, 10, 10"
23,adolescents,-0.0,0.64,0.0,0.0,10,10,10,"10, 10, 10"
24,adult,,0.61,0.0,0.0,10,10,10,"10, 10, 10"
25,adulthood,4.5,0.73,0.02,0.0,10,10,10,"10, 10, 10"
26,adults,-0.0,0.6,-0.0,-0.0,10,10,10,"10, 10, 10"
27,affect,-0.0,0.56,-0.01,0.0,10,10,10,"10, 10, 10"
28,affective,-0.0,0.52,0.04,0.0,10,10,10,"10, 10, 10"
29,age,0.0,0.57,0.04,0.08,10,10,10,"10, 10, 10"
30,agent,-0.0,0.26,-0.02,-0.01,10,10,10,"10, 10, 10"
31,aging,0.0,0.65,0.02,0.0,10,10,10,"10, 10, 10"
32,al,0.0,0.59,-0.0,0.0,10,10,10,"10, 10, 10"
33,alcohol,-0.0,0.37,-0.0,0.0,10,10,10,"10, 10, 10"
34,alff,0.0,0.31,-0.0,-0.01,10,10,10,"10, 10, 10"
35,alpha,0.0,0.62,-0.0,0.0,10,10,10,"10, 10, 10"
36,alzheimer,-0.0,0.37,-0.01,-0.02,10,10,10,"10, 10, 10"
37,alzheimer disease,-0.0,0.37,-0.01,-0.02,10,10,10,"10, 10, 10"
38,ambiguous,0.0,0.44,0.03,0.01,10,10,10,"10, 10, 10"
39,amnestic,0.0,0.42,0.01,-0.01,10,10,10,"10, 10, 10"
40,amygdala,0.0,0.48,0.02,-0.01,10,10,10,"10, 10, 10"
41,amygdala anterior,-0.0,0.25,0.01,-0.01,10,10,10,"10, 10, 10"
42,amygdala hippocampus,-0.0,0.53,-0.02,-0.01,10,10,10,"10, 10, 10"
43,amygdala insula,-0.0,0.45,-0.02,-0.02,10,10,10,"10, 10, 10"
44,amygdala response,-0.0,0.41,-0.01,-0.01,10,10,10,"10, 10, 10"
45,amygdala responses,-0.0,0.4,-0.02,-0.0,10,10,10,"10, 10, 10"
46,anger,-0.0,0.46,-0.02,-0.01,10,10,10,"10, 10, 10"
47,angry,0.0,0.39,-0.04,-0.01,10,10,10,"10, 10, 10"
48,angular,0.0,0.42,0.03,-0.0,10,10,10,"10, 10, 10"
49,angular gyrus,-0.0,0.33,0.03,-0.01,10,10,10,"10, 10, 10"
50,animal,-0.0,0.54,0.02,0.02,10,10,10,"10, 10, 10"
51,animals,0.0,0.52,-0.0,-0.01,10,10,10,"10, 10, 10"
52,anterior,0.0,0.54,0.23,0.16,10,10,10,"10, 10, 10"
53,anterior cingulate,-0.0,0.57,0.24,0.15,10,10,10,"10, 10, 10"
54,anterior hippocampus,0.0,0.39,-0.04,-0.01,10,10,10,"10, 10, 10"
55,anterior insula,0.0,0.57,0.18,0.19,10,10,10,"10, 10, 10"
56,anterior insular,-0.0,0.59,0.06,0.08,10,10,10,"10, 10, 10"
57,anterior intraparietal,0.0,0.54,-0.08,-0.0,10,10,10,"10, 10, 10"
58,anterior medial,0.0,0.23,0.02,-0.02,10,10,10,"10, 10, 10"
59,anterior posterior,-0.0,0.58,0.01,0.01,10,10,10,"10, 10, 10"
60,anterior prefrontal,0.0,0.61,0.07,0.02,10,10,10,"10, 10, 10"
61,anterior superior,0.0,0.37,-0.04,-0.02,10,10,10,"10, 10, 10"
62,anterior temporal,-0.0,0.35,-0.04,-0.04,10,10,10,"10, 10, 10"
63,anticipation,-0.0,0.66,0.2,0.32,10,10,10,"10, 10, 10"
64,anticipatory,0.0,0.49,0.05,0.07,10,10,10,"10, 10, 10"
65,anxiety,-0.0,0.51,-0.01,-0.01,10,10,10,"10, 10, 10"
66,anxiety disorders,-0.0,0.35,-0.01,-0.01,10,10,10,"10, 10, 10"
67,aphasia,0.0,0.24,-0.03,-0.02,10,10,10,"10, 10, 10"
68,appraisal,-0.0,0.48,0.0,-0.01,10,10,10,"10, 10, 10"
69,approach,,0.49,0.0,0.0,10,10,10,"10, 10, 10"
70,arithmetic,0.0,0.62,0.0,0.06,10,10,10,"10, 10, 10"
71,arm,0.0,0.23,-0.11,-0.03,10,10,10,"10, 10, 10"
72,arousal,-0.0,0.51,-0.0,0.0,10,10,10,"10, 10, 10"
